Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
init,3,1,3,0,0,0,0,0,1,3,False,0,False,0
initMouseListeners,5,1,0,2,3,0,0,4.5,1,3,False,0,False,0
onCalendarChange,4,1,0,2,1,0,0,9,1,1,False,0,False,0
paintComponent,5,1,1,3,3,2,1,2.25,1,5,False,0,False,0
paste,3,1,1,2,0,0,0,9,1,2,False,0,False,0
removeSelectionListener,3,1,1,2,0,0,0,9,1,2,False,0,False,0
reset,3,1,0,0,1,0,0,0,1,0,False,0,False,0
resetRenderers,3,1,0,2,0,0,0,9,1,1,False,0,False,0
scrollBy,4,1,1,2,1,0,0,9,1,2,False,0,False,0
setBottomUnit,3,1,1,2,0,0,0,4.5,1,3,False,0,False,0
setBottomUnitWidth,3,1,1,2,0,0,0,4.5,1,3,False,0,False,0
setDefaultCursor,3,1,0,0,1,1,0,9,1,2,False,0,False,0
setDimensions,3,1,2,2,0,0,0,4.5,1,4,False,0,False,0
setStartDate,4,1,1,2,1,0,0,4.5,1,3,False,0,False,0
setStartOffset,4,1,1,2,1,0,0,4.5,1,3,False,0,False,0
setTimelineHeight,3,1,1,2,0,0,0,4.5,1,3,False,0,False,0
setTopUnit,3,1,1,2,0,0,0,4.5,1,3,False,0,False,0
setVScrollController,3,1,1,2,0,0,0,4.5,1,3,False,0,False,0
getChartHeight,3,1,0,0,0,0,0,0,1,3,False,0,False,0
getChartWidth,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getFullWidth,3,1,0,0,0,0,0,0,1,2,False,0,False,0
getLogoHeight,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getTableHeaderHeight,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getTreeWidth,3,1,0,0,0,0,0,0,1,1,False,0,False,0
setChartWidth,3,1,1,0,0,0,0,0,1,4,False,0,False,0
buildImage,27,4,1,0,33,28,6,0.18,2,53,False,0,False,0
acceptChart,7,2,2,0,8,6,1,0.5,2,9,False,0,False,0
acceptLogo,11,2,2,0,6,4,1,0.75,2,6,False,0,False,0
acceptTable,11,2,3,0,7,3,1,1,2,7,False,0,False,0
getGraphics,8,2,1,0,5,3,1,1,2,9,False,0,False,0
getTask,3,1,0,0,0,0,0,0,1,1,False,0,False,0
commit,4,1,0,1,1,0,0,0,1,1,False,0,False,0
addValue,3,1,1,0,1,0,0,0,1,1,False,0,False,0
apply,3,1,1,0,3,2,1,1.5,1,3,False,0,False,0
asEnumerationOption,3,1,0,0,1,0,0,0,1,0,False,0,False,0
getPersistentValue,3,1,0,1,3,0,0,3,1,2,False,0,False,0
getValues,3,1,0,0,1,0,0,0,1,1,False,0,False,0
loadPersistentValue,11,4,1,0,9,1,1,3,3,5,False,0,False,0
removeValueIndex,3,1,1,0,1,0,0,0,1,1,False,0,False,0
setValueIndex,3,1,1,0,1,0,0,0,1,1,False,0,False,0
setValues,5,2,1,0,3,2,1,1.5,2,4,False,0,False,0
updateValue,3,1,2,0,1,0,0,0,1,2,False,0,False,0
build,3,1,0,1,0,0,0,0,1,0,False,0,False,0
clear,3,1,0,2,0,0,0,5,1,1,False,0,False,0
getCalendar,3,1,0,1,1,1,1,2.5,1,3,False,0,False,0
getChartModel,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getConfig,3,1,0,0,2,1,0,5,1,1,False,0,False,0
getPrimitiveContainer,3,1,0,0,1,0,0,0,1,0,False,0,False,0
getWidth,3,1,0,2,2,1,1,1.67,1,3,False,0,False,0
isEnabled,3,1,0,0,0,0,0,0,1,2,False,0,False,0
render,2,1,0,0,0,0,0,0,1,0,False,0,False,0
setEnabled,3,1,1,0,0,0,0,0,1,2,False,0,False,0
cancelClipboardTransaction,3,1,0,0,0,0,0,0,1,1,False,0,False,0
commitClipboardTransaction,3,1,0,0,0,0,0,0,1,1,False,0,False,0
isDeletable,3,1,0,0,0,0,0,0,1,0,False,0,False,0
isEmpty,1,1,0,0,0,0,0,0,0,0,False,0,False,0
startCopyClipboardTransaction,6,2,0,0,1,0,0,0,2,2,False,0,False,0
startMoveClipboardTransaction,6,2,0,0,1,0,0,0,2,2,False,0,False,0
addChartPanel,3,1,1,0,1,0,0,0,1,2,False,0,False,0
addTableResizeListeners,32,4,2,0,5,4,0,2,5,5,False,0,False,0
alignTopPanelHeights,16,3,2,0,12,7,2,1.14,2,10,False,0,False,0
changeValue,14,2,1,2,9,6,4,1.33,2,10,False,0,False,0
componentMoved,3,1,1,1,0,0,0,0,1,1,False,0,False,0
componentResized,3,1,1,1,0,0,0,0,1,1,False,0,False,0
componentShown,3,1,1,1,0,0,0,0,1,1,False,0,False,0
createButtonPanel,1,1,0,0,0,0,0,0,0,0,False,0,False,0
createChartPanels,8,2,0,0,3,0,0,0,2,2,False,0,False,0
createContentComponent,68,4,0,4,33,16,3,0.4,3,50,False,0,True,0
get,9,4,0,0,0,0,0,0,3,2,False,0,False,0
getChartComponent,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getDividerLocation,3,1,0,1,0,0,0,8,1,2,False,0,False,0
getTreeComponent,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getUiFacade,3,1,0,0,0,0,0,0,1,1,False,0,False,0
run,6,1,0,0,0,0,0,0,1,4,False,0,False,0
setActive,6,2,1,2,1,0,0,8,2,2,False,0,False,0
setDividerLocation,3,1,1,1,0,0,0,8,1,3,False,0,False,0
updateTimelineHeight,4,1,0,0,1,1,1,8,1,5,False,0,False,0
windowOpened,3,1,1,1,0,0,0,0,1,1,False,0,False,0
treeNodesChanged,3,1,1,0,2,1,1,0,1,2,False,0,False,0
treeNodesInserted,3,1,1,0,2,1,1,0,1,2,False,0,False,0
treeNodesRemoved,3,1,1,0,2,1,1,0,1,2,False,0,False,0
