Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
TestCase,bin_453_375_604_5,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
TestClass,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
TestClass,bin_151_125_302_25,,bin_0_0_05,bin_6_75_9,bin_0_10_875,True
TestComparator,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
TestDecorator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestedOnSupplier,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestFailure,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestMethod,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestName,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestResult,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestRunner,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestSetup,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestSuite,bin_151_125_302_25,,bin_0_0_05,bin_2_25_4_5,bin_10_875_21_75,True
TestTimedOutException,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestWatcher,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestWatchman,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TestWithParameters,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TextListener,bin_0_151_125,,bin_0_1_0_15,bin_0_2_25,bin_0_10_875,False
Theories,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
TheoryAnchor,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ThrowableCauseMatcher,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ThrowableMessageMatcher,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Throwables,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Timeout,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TypeSafeMatcher,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
ValidationError,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Verifier,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Version,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
